Time (Date hh:mm:ss.ms),LEQ dB-A ,Lmax dB-A ,L10 dB-A ,L90 dB-A ,
2025/05/30 10:20:00.000,53.790805 ,63.730365 ,57.161865 ,48.488865 ,
2025/05/30 10:25:00.000,56.854461 ,76.630365 ,59.606865 ,48.122865 ,
2025/05/30 10:30:00.000,57.307368 ,75.730365 ,60.692865 ,49.037865 ,
2025/05/30 10:35:00.000,56.213863 ,75.230365 ,59.489365 ,48.463365 ,
2025/05/30 10:40:00.000,58.129441 ,79.030365 ,61.415365 ,49.535365 ,
2025/05/30 10:45:00.000,58.482232 ,75.130365 ,60.601365 ,51.557365 ,
2025/05/30 10:50:00.000,58.480103 ,75.030365 ,61.755865 ,50.718865 ,
2025/05/30 10:55:00.000,56.181755 ,71.130365 ,59.810365 ,49.474365 ,
2025/05/30 11:00:00.000,55.616877 ,74.330365 ,58.206365 ,48.734365 ,
2025/05/30 11:05:00.000,57.505683 ,70.830365 ,60.845865 ,48.938865 ,
2025/05/30 11:10:00.000,55.586987 ,71.330365 ,58.813865 ,48.133865 ,
2025/05/30 11:15:00.000,56.823461 ,70.530365 ,60.072865 ,49.732865 ,
2025/05/30 11:20:00.000,56.127835 ,68.730365 ,59.692865 ,48.442865 ,
2025/05/30 11:25:00.000,56.707581 ,69.130365 ,60.247865 ,49.202865 ,
2025/05/30 11:30:00.000,55.553372 ,72.030365 ,58.950365 ,48.030365 ,
2025/05/30 11:35:00.000,55.481711 ,67.330365 ,57.811865 ,51.597865 ,
2025/05/30 11:40:00.000,66.882929 ,73.830365 ,71.422365 ,52.414365 ,
2025/05/30 11:45:00.000,63.678139 ,72.530365 ,66.687865 ,57.607865 ,
2025/05/30 11:50:00.000,68.452568 ,77.330365 ,72.733865 ,58.537865 ,
2025/05/30 11:55:00.000,62.618963 ,73.630365 ,66.638865 ,53.840865 ,
2025/05/30 12:00:00.000,65.868777 ,77.630365 ,69.925365 ,54.265365 ,
2025/05/30 12:05:00.000,62.513773 ,72.730365 ,67.123865 ,52.903865 ,
2025/05/30 12:10:00.000,62.240874 ,86.530365 ,65.425365 ,51.961365 ,
2025/05/30 12:15:00.000,60.346826 ,77.530365 ,63.428865 ,53.262865 ,
2025/05/30 12:20:00.000,60.301825 ,72.130365 ,63.504865 ,51.130865 ,
2025/05/30 12:25:00.000,67.338389 ,79.130365 ,71.520865 ,57.570865 ,
2025/05/30 12:30:00.000,62.518319 ,76.530365 ,65.100365 ,55.452365 ,
2025/05/30 12:35:00.000,59.815126 ,78.430365 ,62.832365 ,53.196365 ,
